authorisationnumber	concept_id	concept_name	concept_code	mapping_typ
46.983	35604748	medroxyprogesterone acetate 150 MG/ML Injection [Depo-Provera]	1738616	EXACT
46015	36783904	Glucose Intravenous Solution	OMOP4772189	BROAD
46028	1763256	rifampin 20 MG/ML Oral Suspension	246297	
46029	19019811	rifampin 300 MG Oral Capsule	198202	
46964	19020266	albumin human, USP 50 MG/ML [Albutein]	566121	EXACT
47.178	40003492	acetaminophen / aspirin / caffeine Oral Tablet	238142	EXACT
47.338	36249588	glucose / sodium chloride Injection	1794561	BROAD
47.633	19031397	dipyrone	3523	BROAD
47.729	19073217	ampicillin 50 MG/ML Oral Suspension	308210	EXACT
47.814	40181755	estradiol valerate 1 MG Oral Tablet	978948	EXACT
47.863	1551122	prednisone 2.5 MG Oral Tablet	198146	EXACT
47120	1750299	povidone-iodine 75 MG/ML Topical Solution	314188	EXACT
47338	36249588	glucose / sodium chloride Injection	1794561	EXACT
48.231	19076324	glucose 50 MG/ML Injectable Solution	309778	EXACT
48.325	35605339	ampicillin Injection	1721470	EXACT
48.384	19134040	imipramine hydrochloride 50 MG Oral Tablet [Tofranil]	835570	EXACT
48.670	19024445	sulfamethoxazole 400 MG / trimethoprim 80 MG Oral Tablet [Septrin]	201027	EXACT
48.707	42706016	pyridoxine / thiamine / vitamin B12 Oral Tablet	1244145	BROAD
48.881	19003191	mesterolone 25 MG Oral Tablet	199582	EXACT
48.882	36272051	Penicillin G Intramuscular Solution	OMOP3122926	BROAD
48048	19133832	amiodarone hydrochloride 200 MG Oral Tablet [Cordarone]	833530	EXACT
48100	35605339	ampicillin Injection	1721470	EXACT
48101	35605339	ampicillin Injection	1721470	EXACT
48194	46234523	doxycycline hyclate 100 MG Oral Capsule	1649988	
48462	721724	nortriptyline	7531	BROAD
48463	721724	nortriptyline	7531	BROAD
48558	19136627	sulpiride 200 MG Oral Tablet	141936	EXACT
48827	40154890	valproate Delayed Release Oral Tablet	808542	BROAD
48828	745466	valproate	40254	BROAD
48882	36272051	Penicillin G Intramuscular Solution	OMOP3122926	BROAD
